Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,,
481,Okay Yokuşlu,MF,tr Turkey,26,1994,1.5,63,70,90,1201,255,24,26,92.3,26,31,83.9,10,10,100,0,0,0,0,4,0,0,0,,
482,Illia Zabarnyi,DF,ua Ukraine,18,2002,5.3,289,314,92,5976,1623,83,86,96.5,168,176,95.5,38,50,76,0,0,0,0,16,0,0,7,,
483,Denis Zakaria,MF,ch Switzerland,24,1996,1.4,22,28,78.6,344,97,10,10,100,10,14,71.4,0,2,0,0,0,0,0,2,0,0,3,,
484,Rifat Zhemaletdinov,MF,ru Russia,24,1996,0.7,15,19,78.9,185,49,11,13,84.6,3,4,75,0,1,0,0,0,0,0,1,0,0,1,,
485,Yuri Zhirkov,DF,ru Russia,37,1983,0.5,14,18,77.8,279,108,7,7,100,5,6,83.3,2,5,40,0,0,0,0,1,0,0,3,,
486,Piotr Zieliński,MFFW,pl Poland,26,1994,2.9,100,135,74.1,1635,574,58,64,90.6,28,36,77.8,11,27,40.7,1,0.4,0.6,8,9,5,1,7,,
487,Oleksandr Zinchenko,MFDF,ua Ukraine,24,1996,5.3,242,292,82.9,3914,769,134,146,91.8,78,100,78,21,30,70,1,0.7,0.3,4,14,6,2,17,,
488,Roman Zobnin,MFFW,ru Russia,26,1994,2.7,85,110,77.3,1623,263,34,43,79.1,36,44,81.8,14,19,73.7,0,0.2,-0.2,1,6,1,0,4,,
489,Steven Zuber,DFFW,ch Switzerland,29,1991,3.2,97,125,77.6,1493,385,55,61,90.2,37,46,80.4,4,12,33.3,4,0.8,3.2,6,4,3,2,7,,
490,Oleksandr Zubkov,FW,ua Ukraine,24,1996,0.1,4,4,100,70,41,1,1,100,3,3,100,0,0,,0,0,0,0,0,0,0,0,,
