,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,,
Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,,
82,Darko Churlinov,FW,mk N. Macedonia,20,2000,0.9,16,16,0,0,0,7,0,2,0,0,0,0,14,2,0,4,12,0,0,0,12,0,0,2,1,,
83,Viktor Claesson,MFFW,se Sweden,29,1992,1,21,19,2,0,0,6,3,0,0,0,0,0,7,7,7,1,12,5,1,0,13,0,1,0,2,,
84,Kingsley Coman,MFFW,fr France,24,1996,1,42,42,0,0,0,13,1,5,0,0,0,0,33,2,7,13,25,3,0,0,33,0,1,3,0,,
85,Liam Cooper,DF,sct Scotland,29,1991,1,77,76,1,1,1,9,3,1,0,0,0,0,52,9,16,54,14,8,0,0,63,1,3,4,3,,
86,Andreas Cornelius,FW,dk Denmark,27,1993,0.7,27,27,0,0,0,10,1,1,0,0,0,0,13,10,4,19,1,1,0,2,19,0,3,0,1,,
87,Vladimír Coufal,DF,cz Czech Republic,28,1992,5,326,261,65,4,1,40,5,20,0,0,0,0,156,63,107,31,211,16,61,0,235,2,6,15,8,,
88,Thibaut Courtois,GK,be Belgium,28,1992,5,171,116,55,12,0,8,4,0,0,0,0,0,109,6,56,100,37,0,0,32,140,0,3,0,1,,
89,Bryan Cristante,MF,it Italy,25,1995,1.5,74,74,0,0,0,14,2,2,0,0,0,0,52,6,16,4,64,2,0,0,62,0,2,1,3,,
90,Tamás Cseri,MF,hu Hungary,33,1988,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,,
91,Diogo Dalot,DF,pt Portugal,21,1999,1.1,78,73,5,1,0,9,3,3,0,0,0,0,58,4,16,0,69,3,4,0,67,0,0,0,1,,
